Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244236,2026-09-23,OPERADORA HOTELERA RAYMA,HOLIDAY INN EXPRESS & SUITES ENSENADA A0198992 (TIJEN),Cobro Regreso,"ENSENADA, BC.","BLANCARTE 151, CENTRO, 22800, ENSENADA, BC",5
244237,2026-09-23,PROMOCIONES TURISTICAS BEGREMAR,HOTEL BLING LOVE,Cobro Regreso,"LEON, GTO.","BLVD SAN JUAN BOSCO 4749, PASEOS DEL COUNTRY, 37358, LEON, GTO",18
244238,2026-09-23,GRUPO HOTELERO HISPANOAMERICANO,CITY EXPRESS HERMOSILLO EXPO (CEHME),Cobro Regreso,"HERMOSILLO, SON.","BLVD GANADEROS 1248 PERISUR HERMOSILLO, , 83294, HERMOSILLO, SON",4
244239,2026-09-23,PROMOTORA TURISTICA NAUTILIUS,WORLDMARK HOTEL CORAL BAJA,Cobro Regreso,"LOS CABOS, BCS.","CARRETERA TRANSPENINSULAR KM 29.5 HOTEL CORAL BAJA, ZONA HOTELERA, 23405, LOS CABOS, BCS",2
244240,2026-09-23,SMA TURISMO,HOTEL LA LEJONA,Cobro Destino,"SAN MIGUEL DE ALLENDE, GTO.","JACARANDAS 2, LA LEJONA, 37765, SAN MIGUEL DE ALLENDE, GTO",1
244241,2026-09-23,JOSE MANUEL REYES ALEGRIA,HOTEL SUITES D REYES,Cobro Destino,"IRAPUATO, GTO.","PROLONGACIÓN NO. 3243, LAS PLAZAS, 36620, IRAPUATO, GTO",1
244242,2026-09-23,INMOBILIARIA DE LAS RIAS BAJAS,INMOBILIARIA DE LAS RIAS BAJAS SA DE CV,Cobro Destino,"CULIACAN, SIN.","CARRT AL NTE ENTRE KM 3.5 Y PR, LA PRESITA BADIRAGUATO, 80935, CULIACAN, SIN",5
244243,2026-09-23,ROSA ELVIRA GONZALEZ GONZALEZ,HOTEL LOS GIRASOLES,Cobro Regreso,"TEPIC, NAY.","CALLE LERDO #181, CENTRO, 63000, TEPIC, NAY",3
244244,2026-09-23,PROMOTORA DEVI,HOLIDAY INN & SUITES AIFA (MEXZD),Cobro Regreso,"ZUMPANGO, MEX.","CIRCUITO CIUDAD AEROPUERTARIA LOTE 3 INT SN, AEROPUERTO INTERNACIONAL FELIPE ANGELES, 55640, ZUMPANGO, MEX",9
244245,2026-09-23,IMPULSORA PLAZA LA UNION,CITY JUNIOR CIUDAD DEL CARMEN (CJCME),Cobro Regreso,"CARMEN, CAM.","CALLE 60 NO. 22, PETROLERA, 24179, CARMEN, CAM",5
244247,2026-09-23,SKYLINE BY COSMOPOLITAN,INDIGO TIJUANA,Cobro Regreso,"TIJUANA, BC.","DÍAZ MIRÓN, CALLE CUARTA, AV. REVOLUCIÓN, ZONA CENTRO, 22000, TIJUANA, BC",6
244248,2026-09-23,DIMISE DESARROLLOS,CITY EXPRESS GUADALAJARA AEROPUERTO (CEGDA),Cobro Destino,"EL SALTO, JAL.","CARRETERA GUADALAJARA A CHAPALA  #7610, LAS PINTITAS, 45693, EL SALTO, JAL",1
244249,2026-09-23,IMPULSORA PLAZA TAMAULIPAS,CITY EXPRESS PLUS TAMPICO (CPTAM),Cobro Destino,"TAMPICO, TAM.","AVENIDA HIDALGO 2005-A, SMITH, 89140, TAMPICO, TAM",1
244250,2026-09-24,GRUPO AGC INTERNACIONAL,GRUPO AGC,Transporte LOCAL,"GUADALAJARA, JAL.","AV. 18 DE MARZO 704 BODEGA ALCE, LA NOGALERA, 44470, GUADALAJARA, JAL",4200
