Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
244042,2026-09-18,FIDEICOMISO IRREVOCABLE DB/1616,"HAMPTON SALTILLO, MEXICO (SLWHA)",Cobro Regreso,"SALTILLO, COA.","Zona Aeropuerto SALTILLO-JARDINES COLONIALES, Carretera Saltillo-Monterrey 6580, 25270, SALTILLO, COA"
244043,2026-09-18,FIDEICOMISO F/1596,FIESTA AMERICANA HERMOSILLO (FAHE),Cobro Regreso,"HERMOSILLO, SON.","BOULEVARD FRANCISCO EUSEBIO KINO  369, LOMAS PITIC, 83010, HERMOSILLO, SON"
244045,2026-09-18,FIDEICOMISO F/1596,FIESTA AMERICANA HERMOSILLO (FAHE),Cobro Regreso,"HERMOSILLO, SON.","BOULEVARD FRANCISCO EUSEBIO KINO  369, LOMAS PITIC, 83010, HERMOSILLO, SON"
244046,2026-09-18,HOTEL HACIENDA REAL DE CASTILLA,HOTEL HACIENDA REAL DE CASTILLA,Transporte LOCAL,"GUADALAJARA, JAL.","COLON 184, ZONA CENTRO, 44100, GUADALAJARA, JAL"
244047,2026-09-18,COMPA&IA HOTELERA DE LA LAGUNA,"HAMPTON TORREÓN-AIRPORT GALERÍAS, MEXICO (TRCHA)",Cobro Regreso,"TORREON, COA.","PERIFERICO RAUL LOPEZ SANCHEZ 10995, LOS VIÑEDOS, 27019, TORREON, COA"
244048,2026-09-18,MARITZA ALEXANDRA ZEPEDA MAGAÑA,MARITZA ALEXANDRA ZEPEDA MAGAÑA,Transporte LOCAL,"GUADALAJARA, JAL.","MORERA 2981, ARBOLEDAS DEL SUR, 44980, GUADALAJARA, JAL"
244049,2026-09-18,PROMOCIONES TURISTICAS ROVISA,PARADISSO AUTO HOTEL,Tres Guerras C.Destino,"LEON, GTO.","BLVD.AEROPUERTO #150, PREDIO DE SANTA JULIA, 37680, LEON, GTO"
244050,2026-09-18,NATHAN DESARROLLOS HOTELEROS,HOLIDAY INN EXPRESS & SUITES SILAO AEROPUERTO (BJXRR),Cobro Regreso,"SILAO, GTO.","CARRETERA SILAO LEON KM 156, NUEVO MEXICO, 36270, SILAO, GTO"
244051,2026-09-18,INMOBILIARIA MOSE,"HAMPTON MEXICO CITY/CENTRO HISTORICO, MEXICO (MEXCH)",Cobro Regreso,"CUAUHTEMOC, CMX.","CALLE 5 DE FEBRERO NUMERO 24, CENTRO DE LA CIUDAD DE MEXICO AREA 6, 06060, CUAUHTEMOC, CMX"
244052,2026-09-18,IMPULSORA PLAZA GUADIANA,CITY EXPRESS DURANGO (CEDGO),Cobro Regreso,"DURANGO, DUR.","BLVD. FRANCISCO VILLA No. 4021, 20 DE NOVIEMBRE, 34234, DURANGO, DUR"
244053,2026-09-18,OPERADORA HOTELERA SLP,ENCORE SAN LUIS A0191479,Cobro Regreso,"SAN LUIS POTOSI, SLP.","AV. BENITO JUAREZ #3963, LAS MERCEDES, 78394, SAN LUIS POTOSI, SLP"
244054,2026-09-18,HOTELEROS JASTECA,HOTEL RAME,Transporte LOCAL,"GUADALAJARA, JAL.","EFRAIN GONZALEZ LUNA #2431, ARCOS VALLARTA, 44130, GUADALAJARA, JAL"
244055,2026-09-18,"SERVICIOS TURISTICOS, RECREATIVOS E INMOBILIARIOS DE ARTEAGA",HACIENDA CONCEPCION,Cobro Destino,"SALTILLO, COA.","REYNOSA 954, REPUBLICA ORIENTE, 25280, SALTILLO, COA"
244056,2026-09-18,SERVICIO DE PROMOCION Y COMERCIALIZACION DE ATITALAQUIA,CITY EXPRESS BY MARRIOTT TULA (CETUL),Cobro Regreso,"ATITALAQUIA, HID.","CARRETERA JOROBA TULA KM 25.8 SN, LA LOMA CARDONAL, 42970, ATITALAQUIA, HID"
244057,2026-09-18,CH HERMOSILLO,COUTYARD MARRIOT HERMOSILLO A0095790,Cobro Regreso,"HERMOSILLO, SON.","BLVD DE LOS GANADEROS 1274, PERISUR, 83294, HERMOSILLO, SON"
244058,2026-09-18,PROMOTORA GA,CITY EXPRESS CABORCA (CECAB),Cobro Regreso,"CABORCA, SON.","AV DOMINGO QUIROZ Y MORA 132, CENTRO, 83600, CABORCA, SON"
244059,2026-09-19,INMOBILIARIA ALHEOS,HOTEL LA JOYA TULANCINGO,Cobro Regreso,"TULANCINGO DE BRAVO, HID.","CARRETERA PIRAMIDES TULANCINGO KM 92, VALLE VERDE, 43648, TULANCINGO DE BRAVO, HID"
244060,2026-09-19,HOTEL DE MENDOZA,HOTEL DE MENDOZA,Transporte LOCAL,"GUADALAJARA, JAL.","AV.VENUSTIANO CARRANZA # 16 S.H., S.H., 44100, GUADALAJARA, JAL"
244061,2026-09-19,IMPULSORA PLAZA TIJUANA,CITY EXPRESS PLUS GUADALAJARA PROVIDENCIA (CPGDL),Cobro Destino,"GUADALAJARA, JAL.","AV AMERICAS 1520, COUNTRY CLUB, 44610, GUADALAJARA, JAL"
244063,2026-09-19,IMPULSORA PLAZA ALTAMIRA,CITY EXPRESS ALTAMIRA (CEALT),Cobro Regreso,"ALTAMIRA, TAM.","AVENIDA DE LA INDUSTRIA #10680, LA LAGUNA DE LA PUERTA, 89609, ALTAMIRA, TAM"
244064,2026-09-19,GRUPO TARERIO,HOLIDAY INN EXPRESS MORELIA CENTRO (MLMCH),Cobro Regreso,"MORELIA, MCH.","CALLE  PORTAL HIDALGO 245, MORELIA CENTRO, 58000, MORELIA, MCH"
244065,2026-09-19,IMPULSORA PLAZA JUAREZ,CITY EXPRESS ROSARITO (CEROS),Cobro Regreso,"PLAYAS DE ROSARITO, BC.","CARRETERA LIBRE TIJUANA- ENSENADA, 362, REFORMA, 22710, PLAYAS DE ROSARITO, BC"
244066,2026-09-19,REHAT HOTELS,HOTEL VERTICCA,Cobro Destino,"SANTA CRUZ TECÁMAC, MEX.","CARR FEDERAL MEXICO - PACHUCA KM 34.50 MANZANA 1 LOTE 1E, FRACC. SIERRA HERMOSA, 55749, SANTA CRUZ TECÁMAC, MEX"
244067,2026-09-21,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,HOLIDAY INN RESORT IXTAPA (ZIHHA),Cobro Regreso,"ZIHUATANEJO DE AZUETA, GRO.","BOULEVARD PASEO IXTAPA LOTE 02, ZONA HOTELERA 1 IXTAPA, 40880, ZIHUATANEJO DE AZUETA, GRO"
244068,2026-09-21,HOTEL DE LOS PEREZ,HOTEL PIEDRA ALTA,Cobro Destino,"SAN ANDRES TUXTLA, VER.","RASCON  2, CENTRO, 95700, SAN ANDRES TUXTLA, VER"
244069,2026-09-21,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN EXPRESS & SUITES JUAREZ(JUAZO),Cobro Regreso,"JUAREZ, CHI.","PASEO DE LA VICTORIA  4202, PARTIDO IGLESIAS, 32528, JUAREZ, CHI"
244071,2026-09-21,CHARTWELL DE NUEVO LAREDO,"HILTON MEXICO CITY-AIRPORT, MEXICO (MEXAH)",Cobro Regreso,"MEXICO, CMX.","CAPITAN CARLOS LEON S/N 3ER PISO DE LA NUEVA TERMINAL AEREA INTERNACIONAL DE LA CIUDAD DE MEXICO, PEÑON DE LOS BAÑOS, 15620, MEXICO, CMX"
