Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
243888,HRZ,192876.0,1,2026-09-17,2026-10-17,C02514,HOTEL ROYAL PLAZA,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),2419.56,0,387.13,2806.69,0.0,68739022,,4,CJA,PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS,SANTA CRUZ ATOYAC,MEXICO,CMX,3310,One Paqueteria C.Regreso,"MEXICO, CMX.","PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS, SANTA CRUZ ATOYAC, 03310, MEXICO, CMX",,"AV CUAUHTEMOC 1361   SANTA CRUZ ATOYAC_x000D__x000D_MEXICO,03310, CMX_x000D_MX",55 9183 7739,HRP880129QX5
243891,OC 02503,193211.0,1,2026-09-17,2026-10-17,C08128,PROMOTORA DEVI,HOLIDAY INN EXPRESS MONTERREY FUNDIDORA (MTYFU),1814.67,0,290.35,2105.02,0.0,68739022,,3,CJA,AV FUNDIDORA SIN NUMERO,OBRERA,MONTERREY,NL,64010,Cobro Regreso,"MONTERREY, NL.","AV FUNDIDORA SIN NUMERO, OBRERA, 64010, MONTERREY, NL",,"BELISARIO DOMINGUEZ 2020 INT 5TO PISO   OBISPADO_x000D__x000D_MONTERREY,64060, NL_x000D_MX",81 3674 7708,PDE1305084L7
243892,INMOBILIARIA HOTELERA DE QUERETARO,193445.0,1,2026-09-17,2026-09-17,C00667,INMOBILIARIA HOTELERA DE QUERETARO,HOLIDAY INN QUERETARO CENTRO HISTORICO A0223804 (MQEMX),3862.62,0,618.02,4480.64,0.0,68739022,,6,CJA,AV 5 FEBRERO #110,NIÑOS HEROES,SANTIAGO DE QUERETARO,QUE,76010,Cobro Regreso,"SANTIAGO DE QUERETARO, QUE.","AV 5 FEBRERO #110, NIÑOS HEROES, 76010, SANTIAGO DE QUERETARO, QUE",,"AVENIDA 5 DE FEBRERO 110   NIÑOS HEROES_x000D__x000D_QUERETARO,76010, QUE_x000D_MX",442 192 0202,IHQ771005U8A
243893,INMOBILIARIA HOTELERA DE QUERETARO,194406.0,1,2026-09-17,2026-09-17,C00667,INMOBILIARIA HOTELERA DE QUERETARO,HOLIDAY INN QUERETARO CENTRO HISTORICO A0223804 (MQEMX),1988.55,0,318.17,2306.72,0.0,68758340,,3,CJA,AV 5 FEBRERO #110,NIÑOS HEROES,SANTIAGO DE QUERETARO,QUE,76010,Cobro Regreso,"SANTIAGO DE QUERETARO, QUE.","AV 5 FEBRERO #110, NIÑOS HEROES, 76010, SANTIAGO DE QUERETARO, QUE",,"AVENIDA 5 DE FEBRERO 110   NIÑOS HEROES_x000D__x000D_QUERETARO,76010, QUE_x000D_MX",442 192 0202,IHQ771005U8A
243894,,194515.0,1,2026-09-17,2026-09-17,C08997,MARCOS ALFREDO RAMOS SANDOVAL,MARCOS ALFREDO RAMOS SANDOVAL,911.99,0,145.92,1057.91,0.0,4016-J07,,1,CJA,SOLIDARIDAD #101,LA LABOR,DELICIAS,CHI,33029,Tiny Pack C Ocurre Oficina,"DELICIAS, CHI.","SOLIDARIDAD #101, LA LABOR, 33029, DELICIAS, CHI",,"SOLIDARIDAD #101   LA LABOR_x000D__x000D_DELICIAS,33029, CHI_x000D_MX",639 117 7348,RASM7209308Y0
243896,672,194366.0,1,2026-09-17,2026-10-17,C06706,OPERADORA DE HOTELES TORREON CENTRO HISTORICO,HOLIDAY INN EXPRESS TORREON ( MILENIUM )(TRCMX),3629.34,0,580.7,4210.03,0.0,68739022,,6,CJA,INDEPENCIA OTE 1133,GRANJAS SAN ISIDRO,TORREON,COA,27100,Cobro Regreso,"TORREON, COA.","INDEPENCIA OTE 1133, GRANJAS SAN ISIDRO, 27100, TORREON, COA",,"BOULEVARD INDEPENDENCIA OTE 1133   GRANJAS SAN ISIDRO_x000D__x000D_TORREON,27100, COA_x000D_MX",871 729 6000,OHT171004KQ4
243897,38722,194152.0,1,2026-09-17,2026-10-02,C03428,OPERADORA ALRO,HOLIDAY INN BUENAVISTA (MEXBU),6048.9,0,967.82,7016.72,0.0,68739022,,10,CJA,Mariano Azuela No. 12,Santa Maria La Ribera,CUAUHTEMOC,CMX,6400,Cobro Regreso,"CUAUHTEMOC, CMX.","Mariano Azuela No. 12, Santa Maria La Ribera, 06400, CUAUHTEMOC, CMX",,"Mariano Azuela No. 12   Santa Maria La Ribera_x000D__x000D_CUAUHTEMOC,06400, CMX_x000D_MX",55 5140 7780,OAL111108K5A
243898,7996,194468.0,1,2026-09-17,2026-10-02,C08323,TURISTICA ARIZONA,HOLIDAY INN EXPRESS SAN LUIS POTOSI A0201813 (SLPMV),1814.67,0,290.35,2105.02,0.0,68739022,,3,CJA,AV BENITO JUAREZ 1270,VALLE DORADO,SAN LUIS POTOSI,SLP,78399,Cobro Regreso,"SAN LUIS POTOSI, SLP.","AV BENITO JUAREZ 1270, VALLE DORADO, 78399, SAN LUIS POTOSI, SLP",,"AV BENITO JUAREZ 1270   VALLE DORADO_x000D__x000D_SAN LUIS POTOSI,78399, SLP_x000D_MX",444 499 9016,TAR0212118V1
243899,132003,193314.0,1,2026-09-17,2026-10-17,C00485,HOSPITALIDAD LATINA,HOLIDAY INN GUADALAJARA SELECT GRUPO HOLA (GDLHI),632.16,0,101.15,733.31,0.0,4029-A90,,1,CJA,AV.NIÑOS HEROES 3089 M1-A,JARDINES DE LOS ARCOS,GUADALAJARA,JAL,44500,Transporte LOCAL,"GUADALAJARA, JAL.","AV.NIÑOS HEROES 3089 M1-A, JARDINES DE LOS ARCOS, 44500, GUADALAJARA, JAL",,"AVENIDA MARIANO OTERO 2535   CIUDAD DEL SOL_x000D__x000D_ZAPOPAN,45050, JAL_x000D_MX",33 3122 2020,HLA981210IF7
243900,12981,192948.0,1,2026-09-17,2026-10-02,C08501,OPERADORA HOTELERA RAYMA,HOLIDAY INN EXPRESS & SUITES ENSENADA A0198992 (TIJEN),604.89,0,96.78,701.67,0.0,68739022,,1,CJA,BLANCARTE 151,CENTRO,ENSENADA,BC,22800,Cobro Regreso,"ENSENADA, BC.","BLANCARTE 151, CENTRO, 22800, ENSENADA, BC",,"AVENIDA BLANCARTE 151   SECCION PRIMERA_x000D__x000D_ENSENADA,22800, BC_x000D_MX",646 152 8470,OHR1611153CA
243901,13102,193604.0,1,2026-09-17,2026-10-02,C08501,OPERADORA HOTELERA RAYMA,HOLIDAY INN EXPRESS & SUITES ENSENADA A0198992 (TIJEN),2419.56,0,387.13,2806.69,0.0,68739022,,4,CJA,BLANCARTE 151,CENTRO,ENSENADA,BC,22800,Cobro Regreso,"ENSENADA, BC.","BLANCARTE 151, CENTRO, 22800, ENSENADA, BC",,"AVENIDA BLANCARTE 151   SECCION PRIMERA_x000D__x000D_ENSENADA,22800, BC_x000D_MX",646 152 8470,OHR1611153CA
243902,310827,194069.0,1,2026-09-17,2026-10-02,C05754,VISUS GRUPO HOTELERO,HOLIDAY INN EXPRESS & SUITES MONTERREY VALLE (MTYRR),4060.77,0,649.72,4710.49,0.0,69706958,,7,CJA,AV. VASCONCELOS 345,SANTA ENGRACIA,"SAN PEDRO GARZA GARCIA, NL",NL,66267,Cobro Regreso,"SAN PEDRO GARZA GARCIA, NL, NL.","AV. VASCONCELOS 345, SANTA ENGRACIA, 66267, SAN PEDRO GARZA GARCIA, NL, NL",,"AVENIDA VASCONCELOS 345   SANTA ENGRACIA_x000D__x000D_SAN PEDRO GARZA GARCIA,66267, NL_x000D_MX",(81) 2222.60.00,VGH161110FT6
243903,MES AGOSTO,192917.0,1,2026-09-17,2026-10-02,C05518,SELFI GRUPO OPERADOR DE ESTACIONAMIENTOS,HOLIDAY INN EXPRESS XALAPA (JALEX),1209.78,0,193.56,1403.34,0.0,68739022,,2,CJA,IGNACIO ZARAGOZA 8,CENTRO,XALAPA ENRIQUEZ,VER,91000,Cobro Regreso,"XALAPA ENRIQUEZ, VER.","IGNACIO ZARAGOZA 8, CENTRO, 91000, XALAPA ENRIQUEZ, VER",,"IGNACIO ZARAGOZA 8 PISO 1   CENTRO_x000D__x000D_XALAPA-ENRIQUEZ,91000, VER_x000D_MX",228 141 1690,SGO050614JG0
243904,4503111372,192923.0,1,2026-09-17,2026-10-17,C08131,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,HOLIDAY INN & SUITES AGUASCALIENTES (AGUGP),3024.45,0,483.91,3508.36,0.0,68739022,,5,CJA,CARRETERA PANAMERICANA SUR KM 52 S/N,CARRETERA PANAMERICANA,AGUASCALIENTES,AGS,20345,Cobro Regreso,"AGUASCALIENTES, AGS.","CARRETERA PANAMERICANA SUR KM 52 S/N, CARRETERA PANAMERICANA, 20345, AGUASCALIENTES, AGS",,"AVENIDA EJERCITO NACIONAL MEXICANO 769 INT TORRE B PISO 8   GRANADA_x000D__x000D_MIGUEL HIDALGO,11520, CMX_x000D_MX",449 478 1300,IHP810701G7A
243905,4//CANCELACION//HOTEL HOLIDAY INN BOCA DEL RIO,192933.0,1,2026-09-17,2026-10-17,C01016,PROMOTORA HOTELERA DE VERACRUZ,HOLIDAY INN VERACRUZ (VCRMX),8468.46,0,1354.95,9823.41,0.0,68739022,,14,CJA,BLVD.ADOLFO RUIZ CORTINES 4298,FRACC COSTA DE ORO,BOCA DEL RIO,VER,94299,Cobro Regreso,"BOCA DEL RIO, VER.","BLVD.ADOLFO RUIZ CORTINES 4298, FRACC COSTA DE ORO, 94299, BOCA DEL RIO, VER",,"MORELOS 225   CENTRO_x000D__x000D_VERACRUZ,91700, VER_x000D_MX",229 923 2050 al 54,PHV980313PU8
243906,,192937.0,1,2026-09-17,2026-10-02,C00456,HOTELERA BAJO LERMA,HOLIDAY INN LA PIEDAD (LPDEX),2419.56,0,387.13,2806.69,0.0,68739022,,4,CJA,KM.2.5 CARRETERA LA PIEDAD,MARGARITAS,LA PIEDAD,MCH,59300,Cobro Destino,"LA PIEDAD, MCH.","KM.2.5 CARRETERA LA PIEDAD, MARGARITAS, 59300, LA PIEDAD, MCH",,"CARRETERA LA PIEDAD GUADALAJARA KM 2.5  SIN NUMERO   MARGARITA_x000D__x000D_LA PIEDAD,59300, MCH_x000D_MX",352 526 3017,HBL920330BGA
243907,03 AGOSTO AMA DE LLAVES,192975.0,1,2026-09-17,2026-09-17,C04552,HOTELERA QUERETANA,HOLIDAY INN EXPRESS & SUITES QUERETARO (MQERG),1814.67,0,290.35,2105.02,0.0,68739022,,3,CJA,AVENIDA 5 DE FEBRERO 110 BIS,NIÑOS HEROES,QUERETARO,QUE,76010,Cobro Regreso,"QUERETARO, QUE.","AVENIDA 5 DE FEBRERO 110 BIS, NIÑOS HEROES, 76010, QUERETARO, QUE",,"AVENIDA 5 DE FEBRERO 110 BIS   NIÑOS HEROES_x000D__x000D_QUERETARO,76010, QUE_x000D_MX",442 215 0020,HQU100513C37
243908,HOTEL STAYBRIDGE,192977.0,1,2026-09-17,2026-10-17,C08487,ALTA HOTELERIA,STAYBRIDGE SUITES VILLAHERMOSA (VSAVH),1931.31,0,309.01,2240.32,0.0,68739022,,3,CJA,PROL DE PASEO USUMACINTA CARRIZAL 1708,TABASCO 2000,CENTRO,TAB,86035,Cobro Regreso,"CENTRO, TAB.","PROL DE PASEO USUMACINTA CARRIZAL 1708, TABASCO 2000, 86035, CENTRO, TAB",,"AVENIDA PASEO USUMACINTA 1708   CARRIZAL_x000D__x000D_VILLAHERMOSA,86038, TAB_x000D_MX",99 3319 1800,AHO991230PN4
243909,holiday inn express reforma,192979.0,1,2026-09-17,2026-10-02,C02642,HOTELES Y RESTAURANTES UNIDOS,HOLIDAY INN EXPRESS MEXICO REFORMA (MEXRE),15122.25,0,2419.56,17541.81,0.0,68739022,,25,CJA,AV. PASEO DE LA REFORMA 208,JUAREZ,MEXICO,DF,6500,Cobro Regreso,"MEXICO, DF.","AV. PASEO DE LA REFORMA 208, JUAREZ, 06500, MEXICO, DF",,"AV PASEO DE LA REFORMA 208   JUAREZ_x000D_MEXICO_x000D_CUAUHTEMOC,06600, CMX_x000D_MX",55 9150 5900,HRU020823LQ1
243910,,193042.0,1,2026-09-17,2026-10-02,C04085,HOTELERA DUPORT,HOLIDAY INN COATZACOALCOS (MTTCO),2419.56,0,387.13,2806.69,0.0,68739022,,4,CJA,Blvd. John Spark 4,Reserva Territorial Duport Ostion,Coatzacoalcos,VER,96536,Cobro Regreso,"Coatzacoalcos, VER.","Blvd. John Spark 4, Reserva Territorial Duport Ostion, 96536, Coatzacoalcos, VER",,"BLVD. MALECON COSTERO 4   EL TESORO_x000D__x000D_COATZACOALCOS,96536, VER_x000D_MX",921 211 8500,HDU0810038R8
243911,Agosto,193054.0,1,2026-09-17,2026-10-02,C07858,PROMOTORA DE HOTELES MIXHIUCA,HOLIDAY INN EXPRESS MEXICO AEROPUERTO A0200280 (MEXAI),4234.23,0,677.48,4911.71,0.0,68739022,,7,CJA,AVENIDA RIO CHURUBUSCO  253,GRANJAS MEXICO,IZTACALCO,CMX,8400,Cobro Regreso,"IZTACALCO, CMX.","AVENIDA RIO CHURUBUSCO  253, GRANJAS MEXICO, 08400, IZTACALCO, CMX",,"AVENIDA RIO CHURUBUSCO  253   GRANJAS MEXICO_x000D__x000D_IZTACALCO,08400, CMX_x000D_MX",55 5803 4900,PHM041119BZ6
243912,20609,193076.0,1,2026-09-17,2026-10-17,C08624,OPERADORA DE HOTELES FLOSOL,HOLIDAY INN & SUITES PUERTO VALLARTA (PVRIF),4839.12,0,774.26,5613.38,0.0,68739022,,8,CJA,BLVD. FRANCISCO MEDINA ASCENCIO 3650,VILLA LAS FLORES,PUERTO VALLARTA,JAL,48335,Cobro Regreso,"PUERTO VALLARTA, JAL.","BLVD. FRANCISCO MEDINA ASCENCIO 3650, VILLA LAS FLORES, 48335, PUERTO VALLARTA, JAL",,"BLVD. PUERTA DE HIERRO 5200 INT 14   PUERTA DE HIERRO_x000D__x000D_ZAPOPAN,45116, JAL_x000D_MX",322 226 7760,OHF0605235S7
243913,operadora de estancias creativas,193086.0,1,2026-09-17,2026-10-02,C07041,OPERADORA DE ESTANCIAS CREATIVAS,HOLIDAY INN EXPRESS TAPACHULA (TAPPF),2419.56,0,387.13,2806.69,0.0,68739022,,4,CJA,CARRETERA A PTO MADERO KM 3.5,LAS HORTENCIAS,TAPACHULA,CHS,30797,Cobro Regreso,"TAPACHULA, CHS.","CARRETERA A PTO MADERO KM 3.5, LAS HORTENCIAS, 30797, TAPACHULA, CHS",,"BLVD. BELISARIO DOMINGUEZ KM. 1081   JARDINES DE TUXTLA_x000D__x000D_TUXTLA,29020, CHS_x000D_MX",962 6201 600,OEC180105ND5
243914,OC 179871,193109.0,1,2026-09-17,2026-10-17,C04248,EMPRESAS OPTIMA,HOLIDAY INN EXPRESS GUADALAJARA AEROPUERTO (GDLOP),604.89,0,96.78,701.67,0.0,68739022,,1,CJA,SOLIDARIDAD 7012 A,LAS PINTAS,EL SALTO,JAL,45690,Transporte LOCAL,"EL SALTO, JAL.","SOLIDARIDAD 7012 A, LAS PINTAS, 45690, EL SALTO, JAL",,"SOLIDARIDAD 7012 A   LAS PINTAS_x000D__x000D_EL SALTO,45690, JAL_x000D_MX",81 8174 2400 CORPO,EOP000815CM5
243915,INMOBILIARIA BALROY,193111.0,1,2026-09-17,2026-10-02,C04472,INMOBILIARIA BALROY,HOLIDAY INN HUATULCO (HUXHI),9073.35,0,1451.74,10525.09,0.0,68739022,,15,CJA,BOULEVARD SANTA CRUZ 604,SANTA CRUZ SECTOR A,SANTA MARIA HUATULCO,OAX,70987,Cobro Regreso,"SANTA MARIA HUATULCO, OAX.","BOULEVARD SANTA CRUZ 604, SANTA CRUZ SECTOR A, 70987, SANTA MARIA HUATULCO, OAX",,"BOULEVARD SANTA CRUZ 604   SANTA CRUZ SECTOR A_x000D__x000D_SANTA MARIA HUATULCO,70987, OAX_x000D_MX",958 583 0433,IBA110311LY5
243916,,193286.0,1,2026-09-17,2026-10-17,C01962,FORSA EXPRESS GUADALAJARA,HOLIDAY INN EXPRESS GUADALAJARA EXPO (GDLOR),1209.78,0,193.56,1403.34,0.0,68739022,,2,CJA,MARIANO OTERO 2397,RESIDENCIAL VICTORIA,ZAPOPAN,JAL,45089,Transporte LOCAL,"ZAPOPAN, JAL.","MARIANO OTERO 2397, RESIDENCIAL VICTORIA, 45089, ZAPOPAN, JAL",,"MARIANO OTERO 2397   RESIDENCIAL VICTORIA_x000D__x000D_ZAPOPAN,45089, JAL_x000D_MX",5000 8080,FEG770328531
243917,Gwesty accommodation,193121.0,1,2026-09-17,2026-10-17,C09637,GWESTY ACCOMMODATION,HOLIDAY INN EXPRESS & SUITES MEXICALI A0200941 (MXLBC),2419.56,0,387.13,2806.69,0.0,68739022,,4,CJA,CALZADA MANUEL GOMEZ MORIN 1950 INT 855 A,Rivera,MEXICALI,BC,21259,Cobro Regreso,"MEXICALI, BC.","CALZADA MANUEL GOMEZ MORIN 1950 INT 855 A, Rivera, 21259, MEXICALI, BC",,"BLVD. LAZARO CARDENAS 4530  INT I   ISLAS AGRARIAS A_x000D__x000D_MEXICALI,21600, BC_x000D_MX",686 841 8110,GAC241010HX5
243918,staybridge,193123.0,1,2026-09-17,2026-10-02,C08608,HOTEL ROYAL PLAZA,STAYBRIDGE  SUITES PUEBLA (PUEAA),1209.78,0,193.56,1403.34,0.0,68739022,,2,CJA,Av Hermanos Serdan 810 INT SN,El Riego Sur,PUEBLA,PUE,72160,Cobro Regreso,"PUEBLA, PUE.","Av Hermanos Serdan 810 INT SN, El Riego Sur, 72160, PUEBLA, PUE",,"AV CUAUHTEMOC 1361   SANTA CRUZ ATOYAC_x000D__x000D_CUAUHTEMOC,03310, CMX_x000D_MX",222 690 0506,HRP880129QX5
243919,,193157.0,1,2026-09-17,2026-10-02,C01684,OPERADORA BRITS,HOLIDAY INN DURANGO A0210061 (DGOMX),604.89,0,96.78,701.67,0.0,68739022,,1,CJA,BLVD. FRANCISCO VILLA 4315,20 DE NOVIEMBRE,DURANGO,DUR,34234,Cobro Destino,"DURANGO, DUR.","BLVD. FRANCISCO VILLA 4315, 20 DE NOVIEMBRE, 34234, DURANGO, DUR",,"BLVD. FRANCISCO VILLA 4315   20 DE NOVIEMBRE_x000D__x000D_DURANGO,34236, DUR_x000D_MX",618 175 4279,OBR010723IT7
243920,holiday inn conveciones,193166.0,1,2026-09-17,2026-10-17,C00865,OPERAINN,HOLIDAY INN LEON CENTRO DE CONVENCIONES (BJXAP),1931.31,0,309.01,2240.32,0.0,68739022,,3,CJA,BLVD.ADOLFO LOPEZ MATEOS 2501,ORIENTE BUGAMBILIAS,LEON,GTO,37270,Cobro Regreso,"LEON, GTO.","BLVD.ADOLFO LOPEZ MATEOS 2501, ORIENTE BUGAMBILIAS, 37270, LEON, GTO",,"BLVD.ADOLFO LOPEZ MATEOS 2501 ORIENTE   BUGAMBILIAS_x000D__x000D_LEON,37270, GTO_x000D_MX",477 710 0040,OPE010420CQ3
243921,4503110952,193172.0,1,2026-09-17,2026-10-17,C08549,ALKOER,STAYBRIDGE SUITES SILAO (BJXPI),1209.78,0,193.56,1403.34,0.0,68739022,,2,CJA,AV PLAZA HIDALGO 304 Y 306,PUERTO INTERIOR,SILAO DE LA VICTORIA,GTO,36275,Cobro Regreso,"SILAO DE LA VICTORIA, GTO.","AV PLAZA HIDALGO 304 Y 306, PUERTO INTERIOR, 36275, SILAO DE LA VICTORIA, GTO",,"AV EJERCITO NACIONAL MEXICANO 769 TORRE B PISO 8   GRANADA_x000D__x000D_CIUDAD DE MEXICO,11520, CMX_x000D_MX",472 690 6001,ALK150317SW2
