Factura,Almacen,Fecha_Conta,Cliente,Nombre_Cliente,Nombre_Extran,Domicilio,Colonia,Cuidad,Estado,CP,CAJAS,SURTIDOR,PAQUETERIA,FECHA,INCIDENCIA
234982,1,2026-02-20,C09478,ADMINISTRADORA HOTELES LOA,COMFORT INN PUEBLA (143202),AV. JUAREZ PUEBLA #1309,CENTRO,PUEBLA,PUE,72000,11,,,,
234983,1,2026-02-20,C05467,TURISTICA DINAMICA DE SAN LUIS,COMFORT INN SAN LUIS POTOSI (143206),J GUADALUPE TORRES 158,EL PASEO,SAN LUIS POTOSI,SLP,78320,3,,,,
234984,1,2026-02-20,C05467,TURISTICA DINAMICA DE SAN LUIS,COMFORT INN SAN LUIS POTOSI (143206),J GUADALUPE TORRES 158,EL PASEO,SAN LUIS POTOSI,SLP,78320,4,,,,
234985,1,2026-02-20,C01874,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN EXPRESS & SUITES MONTERREY AEROPUERTO(MTYZO),BLVD.AEROPUERTO 400,PARQUE INDUSTRIAL MILEMIUM,APODACA,NL,66600,21,,,,
234986,1,2026-02-20,C02384,HOTEL QUINTA RIVERA GUADALAJARA,POSADA DEL MARQUES,VICTORIANO SALADO ALVAREZ # 72,LADRON DE GUEVARA,GUADALAJARA,JAL,44600,1,,,,
234987,1,2026-02-20,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,1,,,,
234988,1,2026-02-20,C01712,IMPULSORA PLAZA JUAREZ,CITY EXPRESS CIUDAD JUAREZ(CECJS) / JIPJUA,BLVD. TOMAS FERNANDEZ # 7810,PARTIDO DOBLADO,JUAREZ,CHI,32424,21,,,,
234989,1,2026-02-20,C08133,PRODUCCIONES AUDIOVISUALES LOS JOVENES ILUSTRES,PRODUCCIONES AUDIOVISUALES LOS JOVENES ILUSTRES,JOSE GUADALUPE MONTENEGRO 2111 INTERIOR 42,LAFAYETTE,GUADALAJARA,JAL,44150,1,,,,
234990,1,2026-02-20,C07351,IMPULSORA PLAZA TIJUANA,CITY EXPRESS SALTILLO SUR (CESLW),PERIFERICO LUIS ECHEVERRIA #350 A,LOURDES,SALTILLO,COA,25070,11,,,,
234991,1,2026-02-20,C09117,SERVICIOS TURISTICOS MAZZ,GRAND CATALAGUA,PIRINDAS #435,FELIX IRETA,MORELIA,MCH,58070,21,,,,
234992,1,2026-02-20,C02295,IMPULSORA PLAZA MINATITLAN,CITY EXPRESS MINATITLAN (CEMTT),BLVD.INSTITUTOS TECNOLOGICOS KM.711 MZA 28 LT 39,MORELOS,MINATITLAN,VER,96760,20,,,,
234993,1,2026-02-20,C03092,COMPAÑIA MEXICANA DE INVERSIONES TURISTICAS,HOTEL LUCERNA MEXICALI,BOULEVARD BENITO JUAREZ 2151,INSURGENTES ESTE,MEXICALI,BC,21280,21,,,,
234994,1,2026-02-20,C08695,PROYECTOS PROCAR,"HAMPTON CIUDAD DEL CARMEN CAMPECHE, MEXICO (CMEMX)",AV ISLA DE TRIS 28 A,FRACCIONAMIENTO RESIDENCIAL SAN MIGUEL,CIUDAD DEL CARMEN,CAM,24157,8,,,,
234995,1,2026-02-20,C03764,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN MONTERREY VALLE(MTYZV),LAZARO CARDENAS 2305,RESIDENCIAL SAN AGUSTIN,SAN PEDRO GARZA GARCIA,NL,66260,18,,,,
234996,1,2026-02-20,C08870,IMPERIAL REAL PLAZA,REAL PLAZA,AV. VENUSTIANO CARRANZA #890,MODERNA,SAN LUIS POTOSI,SLP,78233,1,,,,
235001,1,2026-02-20,C05969,COMPAÑIA HOTELERA PASEO ALCALDE,"DOUBLETREE GUADALAJARA CENTRO HISTORICO, MEXICO (GDLDT)",PEDRO MORENO 381 INT A,CENTRO,GUADALAJARA,JAL,44100,39,,,,
235002,1,2026-02-20,C06292,ADMINISTRADORA TURISTICA DEL GOLFO,ARENAS DEL MAR RESORT,BLVD.COSTERO 504,PLAYA MIRAMAR,CD MADERO,TAM,89540,64,,,,
235003,1,2026-02-20,C04922,AUDELIA PEREZ LEON,PRODUCTOS DE LIMPIEZA DEL VALLE,MELCHOR OCAMPO # 717,CENTRO,OAXACA DE JUAREZ,OAX,68000,14,,,,
235004,1,2026-02-20,C08512,OPERADORA DE HOTELES Y FRANQUICIAS SAN JUAN DEL RIO,"HAMPTON SAN JUAN DEL RIO, MEXICO (QROSJ)",AVENIDA CENTRAL 239,VALLE DE ORO,SAN JUAN DEL RIO,QUE,76802,12,,,,
235005,1,2026-02-20,C08976,ADMINISTRADORA HOTELERA OPUS,HOTEL OPUS GRAND,BLVD. MIGUEL ALEMAN #505,SAN PEDRO TOTOLTEPEC,Toluca,DF2,50200,5,,,,
235006,1,2026-02-20,C04260,OPERADORA HOTELERA SLP,ENCORE SAN LUIS A0191479,AV. BENITO JUAREZ #3963,LAS MERCEDES,SAN LUIS POTOSI,SLP,78394,2,,,,
235007,1,2026-02-20,C06540,OPERADORA DE HOTELES Y RESORT INNS DE MEXICO,SUNVIVIA,CALZ CAMARON SABALO No. 6291,ZONA DORADA,MAZATLAN,SIN,82110,24,,,,
235008,1,2026-02-20,C08267,HOTELERA OMS,MICROTEL GUADALAJARA SUR,AV LOPEZ MATEOS SUR 1710 F-1,SANTA ISABEL,TLAJOMULCO DE ZUÑIGA,JAL,45645,3,,,,
235009,1,2026-02-20,C09428,INSUMOS DE LIMPIEZA E HIGIENE,INSUMOS DE LIMPIEZA E HIGIENE,CIRCUITO BOSQUES DE LA TRINIDAD 220,PLAN DE AYALA,TUXTLA GUTIERREZ,CHS,29020,97,,,,
235010,1,2026-02-20,C09350,LOMAS PROVIDENCIA UNIDAD MEDICA,HOSPITAL LOMAS PROVIDENCIA,CALLE VICTORIA #1515,PROVIDENCIA 1RA SECCION,GUADALAJARA,JAL,44630,4,,,,
235011,1,2026-02-20,C02400,HOTELES CASA INN,CASA INN PREMIUM HOTEL QUERETARO,PASEO DE MIRANDA OTE #2,FRACCIONAMIENTO MONTE MIRANDA,EL MARQUES,QUE,76240,8,,,,
235012,1,2026-02-20,C01615,FIDEICOMISO IRREVOCABLE DB/1616,CASA GRANDE DELICIAS(CUUDE),AV 6 ORIENTE 601,CENTRO,CIUDAD DELICIAS,CHI,33000,5,,,,
235013,1,2026-02-20,C01615,FIDEICOMISO IRREVOCABLE DB/1616,CASA GRANDE DELICIAS(CUUDE),AV 6 ORIENTE 601,CENTRO,CIUDAD DELICIAS,CHI,33000,7,,,,
235014,1,2026-02-20,C06557,FIDEICOMISO F/1596,COURTYARD MARRIOTT MEXICO CITY VALLEJO A0097805,CALZADA VALLEJO #1090,SANTA CRUZ DE LAS SALINAS,CDMX,CMX,02300,7,,,,
235015,3,2026-02-20,C04018,CONSORCIO HOTELERO,WYNDHAM MERIDA A0191406,"Calle 33 A, número 505 A",CENTRO,MERIDA,YUC,97000,4,,,,
235016,1,2026-02-20,C09034,OPERADORA HOTELERA DEL MANGLAR,COURTYARD BY MARRIOTT CIUDAD DEL CARMEN CAMPECHE,AV ISLA DE TRIS 57 B,PALMIRA,CIUDAD DEL CARMEN,CAM,25154,11,,,,
235017,1,2026-02-20,C01918,ROSA ELVIRA GONZALEZ GONZALEZ,HOTEL LOS GIRASOLES,CALLE LERDO #181,CENTRO,TEPIC,NAY,63000,7,,,,
235018,1,2026-02-20,C04758,FIDEICOMISO IRREVOCABLE DB/1616,COURTYARD SALTILLO (SLWCS) A0100469,BLVD. GALERÍAS SALTILLO NO. 375-1,PARQUE CENTRO,SALTILLO,COA,25279,14,,,,
235019,3,2026-02-20,C09492,PALMAR AZUL MANAGEMENT,IBEROSTAR SELECTION RIVIERA CANCUN,CARRETERA FEDERAL CANCUN - PUERTO MORELOS MZA 34,PUERTO MORELOS,PUERTO MORELOS,QR,77580,1,,,,
235020,1,2026-02-20,C07738,BOTANICAROMATICA,XINU,Rio Misisipi # 58,Cuauhtemoc Delegación cuauhtémoc,CIUDAD DE MEXICO,CMX,06500,17,,,,
235021,1,2026-02-20,C08870,IMPERIAL REAL PLAZA,REAL PLAZA,AV. VENUSTIANO CARRANZA #890,MODERNA,SAN LUIS POTOSI,SLP,78233,100,,,,
235022,1,2026-02-20,CF0008,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN EXPRESS & SUITES JUAREZ(JUAZO),PASEO DE LA VICTORIA  4202,PARTIDO IGLESIAS,JUAREZ,CHI,32528,6,,,,
235023,1,2026-02-20,C08992,SERGIO ANTONIO CUEVAS CASTAÑEDA,SERGIO ANTONIO CUEVAS CASTAÑEDA,AV. UNION #71,AMERICANA,GUADALAJARA,JAL,44140,5,,,,
235024,1,2026-02-20,C08017,OSWALDO GARCIA MARTINEZ,GYAPHARMA,CALLE INGENIO DE TALA 12,JOSE MARIA MARTINEZ,TEPIC,NAY,63199,10,,,,
