NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C08560,238342,HOLIDAY INN QUERETARO ZONA KRYSTALL (MQEBC),"QUERETARO, QUE",13/05/2026,ENVIADO,14/05/2026,KEVIN,8,TRES GUERRAS,
C07585,238343,CITY EXPRESS CANCUN (CECUN),"CANCUN, QR",13/05/2026,ENVIADO,14/05/2026,KEVIN,8,CEDIS CANCUN,
C07453,238344,CITY EXPRESS PLUS ENSENADA (CPESE),"ENSENADA, BC",13/05/2026,ENVIADO,14/05/2026,KEVIN,17,TRES GUERRAS,
CLIESP,238345,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",13/05/2026,ENVIADO,13/05/2026,FELIX,2,CLIENTE PASA,
C09095,238346,CASA HAUS HOTEL,"PUEBLA, PUE",13/05/2026,ENVIADO,14/05/2026,KEVIN,2,TRES GUERRAS,
C09692,238347,UVI TECH,"LERMA, MEX",13/05/2026,ENVIADO,14/05/2026,KEVIN,1,SOLO FACTURA,
C09764,238348,RIVIERA RENTALS,"PLAYA DEL CARMEN, QR",13/05/2026,ENVIADO,14/05/2026,KEVIN,1,CEDIS CANCUN,
C03580,238349,HOTEL NUVO,"SALTILLO, COA",13/05/2026,ENVIADO,14/05/2026,,3,SOLO FACTURA,
C04501,238350,BARCELO HUATULCO,"HUATULCO, OAX",13/05/2026,ENVIADO,14/05/2026,,2,CEDIS CANCUN,
C04501,238351,BARCELO HUATULCO,"HUATULCO, OAX",13/05/2026,ENVIADO,14/05/2026,,8,CEDIS CANCUN,
C07430,238352,IBEROSTAR TUCAN & QUETZAL,"SOLIDARIDAD, QR",13/05/2026,ENVIADO,14/05/2026,,18,CEDIS CANCUN,
C04471,238353,BARCELO MAYA BEACH RESORT,"XPU HA, QR",13/05/2026,ENVIADO,14/05/2026,,2,CEDIS CANCUN,
C07431,238354,IBEROSTAR PLAYA PARAISO,"PLAYA DEL CARMEN, QR",13/05/2026,ENVIADO,14/05/2026,,1,CEDIS CANCUN,
C04471,238355,BARCELO MAYA BEACH RESORT,"XPU HA, QR",13/05/2026,ENVIADO,14/05/2026,,5,CEDIS CANCUN,
C04471,238356,BARCELO MAYA BEACH RESORT,"XPU HA, QR",13/05/2026,ENVIADO,14/05/2026,,8,CEDIS CANCUN,
C03618,238357,NIZUC RESORT & SPA,"CANCUN BENITO JUAREZ, QR",13/05/2026,ENVIADO,14/05/2026,,6,CEDIS CANCUN,
C07809,238358,DREAMS JADE RIVIERA CANCUN (DRJRC) A0191038,"PUERTO MORELOS, QR",13/05/2026,ENVIADO,14/05/2026,,2,CEDIS CANCUN,
C07809,238359,DREAMS JADE RIVIERA CANCUN (DRJRC) A0191038,"PUERTO MORELOS, QR",13/05/2026,ENVIADO,14/05/2026,,4,CEDIS CANCUN,
C07430,238360,IBEROSTAR TUCAN & QUETZAL,"SOLIDARIDAD, QR",13/05/2026,ENVIADO,14/05/2026,,100,CEDIS CANCUN,
C07309,238361,HOTEL BRILLANTE,"GUADALAJARA, JAL",13/05/2026,ENVIADO,,,2,LOCAL,
C08080,238362,PRESIDENTE INTERCONTINENTAL CANCUN,"CANCUN, QR",13/05/2026,ENVIADO,14/05/2026,,1,SOLO FACTURA,
C04182,238363,AZULIK HOTEL,"TULUM, QR",13/05/2026,ENVIADO,14/05/2026,,3,CEDIS CANCUN,
C08161,238364,HOTEL GUMONT,"GUADALAJARA, JAL",13/05/2026,ENVIADO,14/05/2026,FELIX,8,LOCAL,
C08562,238365,"HAMPTON AGUASCALIENTES DOWNTOWN, MEXICO (AGUMX)","AGUASCALIENTES, AGS",13/05/2026,ENVIADO,14/05/2026,KEVIN,5,TRES GUERRAS,
C01774,238366,HOTEL STORE PUERTO VALLARTA,"BAHIA DE BANDERAS, NAY",13/05/2026,ENVIADO,15/05/2026,FELIX,129,SANCHEZ,
C08695,238367,"HAMPTON CIUDAD DEL CARMEN CAMPECHE, MEXICO (CMEMX)","CIUDAD DEL CARMEN, CAM",13/05/2026,ENVIADO,14/05/2026,KEVIN,4,TRES GUERRAS,
C04844,238368,"HAMPTON QUERETARO TECNOLOGICO, MEXICO (QROHT)","QUERETARO, QUE",13/05/2026,ENVIADO,14/05/2026,KEVIN,11,TRES GUERRAS,
C01894,238369,CANDLEWOOD SUITES QUERETARO JURIQUILLA A0202645 (QROJA),"QUERETARO, QUE",13/05/2026,ENVIADO,14/05/2026,KEVIN,4,TRES GUERRAS,
C01123,238370,MOTEL BENIDORM,"GUADALAJARA, JAL",13/05/2026,ENVIADO,14/05/2026,FELIX,10,LOCAL,
C08593,238371,"HILTON GRAND VACATIONS CABO AZUL, MX (SJDCA)","SAN JOSE DEL CABO, BCS",13/05/2026,ENVIADO,14/05/2026,KEVIN,45,TRES GUERRAS,
C03623,238372,DECAMERON ALL INCLUSIVE HOTELS & RESORTS A0157902,"LOS CABOS, BCS",13/05/2026,ENVIADO,14/05/2026,KEVIN,60,TRES GUERRAS,
C03485,238373,COURTYARD MARRIOTT SAN JERONIMO 9392Y (MSJ),"MONTERREY, NL",13/05/2026,ENVIADO,14/05/2026,,15,CEDIS MONTERREY,
C02469,238374,DISTRIBUIDORA M Y G S DE R L,"SAN PEDRO SULA, CORTES HONDURAS, HON",13/05/2026,ENVIADO,14/05/2026,,545,EXPORTACION,
C02299,238375,EJECUTIVO EXPRESS,"GUADALAJARA, JAL",13/05/2026,ENVIADO,14/05/2026,FELIX,5,LOCAL,
C06946,238376,HOTEL SUITES AMD,"SAN JUAN DE LOS LAGOS, JAL",13/05/2026,ENVIADO,14/05/2026,KEVIN,3,TRES GUERRAS,
C08334,238377,AVID FRESNILLO (ZCLAV),"FRESNILLO, ZAC",13/05/2026,ENVIADO,,,2,TRES GUERRAS,MANDAR CON LA 238419
C08486,238378,"HILTON TULUM RIVIERA MAYA ALL-INCLUSIVE RESORT, MEXICO (CUNHI)","TULUM, QR",13/05/2026,ENVIADO,,,15,CEDIS CANCUN,
C08498,238379,"HILTON GARDEN INN LEON, MEXICO (BJXAD)","LEON, GTO",13/05/2026,ENVIADO,14/05/2026,KEVIN,12,TRES GUERRAS,
