NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C07297,238614,PALACE RESORTS,"CANCUN, QR",19/05/2026,ENVIADO,19/05/2026,FELIX,,CEDIS CANCUN,
C09020,238615,"HILTON QUERETARO, MEXICO (QROJS)","QUERETARO, QUE",19/05/2026,ENVIADO,19/05/2026,FELIX,6,,
C02351,238616,GILCHRIST & SOAMES,"PLAINFIELD, IN",19/05/2026,ENVIADO,19/05/2026,FELIX,0,EXPORTACION,
C02351,238617,GILCHRIST & SOAMES,"PLAINFIELD, IN",19/05/2026,ENVIADO,19/05/2026,FELIX,0,EXPORTACION,
C08473,238618,"HILTON GARDEN INN MONTERREY OBISPADO, NUEVO LEON, MEXICO (MTYGI)","MONTERREY, NL",19/05/2026,ENVIADO,19/05/2026,FELIX,0,CEDIS MONTERREY,
C02351,238619,GILCHRIST & SOAMES,"PLAINFIELD, IN",19/05/2026,ENVIADO,19/05/2026,FELIX,0,EXPORTACION,
C09639,238620,HOTEL PARIS FC,"POZA RICA DE HIDALGO, VER",19/05/2026,ENVIADO,19/05/2026,FELIX,10,,
C01860,238621,HOLIDAY INN EXPRESS VILLAHERMOSA TABASCO 2000 (VSASA),"VILLAHERMOSA, TAB",19/05/2026,ENVIADO,19/05/2026,FELIX,8,,
C09061,238622,HOTEL EL REFUGIO,"CIUDAD FERNANDEZ, SLP",19/05/2026,ENVIADO,19/05/2026,FELIX,4,,
C05946,238623,"HAMPTON CHIHUAHUA CITY, MEXICO (CUUMX)","CHIHUAHUA, CHI",19/05/2026,ENVIADO,19/05/2026,FELIX,25,,
C00668,238624,HOLIDAY INN MERIDA (MIDMX),"MERIDA, YUC",19/05/2026,ENVIADO,19/05/2026,FELIX,21,,
C05485,238625,FIESTA INN AEROPUERTO FIAPT,"MEXICO, DF",19/05/2026,ENVIADO,19/05/2026,FELIX,3,,
C04459,238626,WIM HOTEL,"CAMARGO, CHI",19/05/2026,ENVIADO,19/05/2026,FELIX,7,,
C08404,238627,HOTEL ALDAMA DE COLIMA,"GUADALAJARA, JAL",19/05/2026,ENVIADO,19/05/2026,FELIX,5,,
C04042,238628,MOTEL ZAIRE,"ZAPOPAN, JAL",19/05/2026,ENVIADO,19/05/2026,FELIX,8,,
C09775,238629,VILLAS PALMILLA DUNES,"LOS CABOS, BCS",19/05/2026,ENVIADO,19/05/2026,FELIX,8,,
C02351,238630,GILCHRIST & SOAMES,"PLAINFIELD, IN",19/05/2026,ENVIADO,19/05/2026,FELIX,0,,NO  HAY FACTURA
C01503,238631,CROWNE PLAZA MONTERREY(MILENIUM) (MTYPL),"MONTERREY, NL",19/05/2026,ENVIADO,19/05/2026,FELIX,27,,
C03616,238632,BAHIA PRINCIPE,"TULUM, QR",20/05/2026,ENVIADO,,,,,
C03616,238633,BAHIA PRINCIPE,"TULUM, QR",20/05/2026,ENVIADO,,,,,
C01503,238634,CROWNE PLAZA MONTERREY(MILENIUM) (MTYPL),"MONTERREY, NL",20/05/2026,ENVIADO,,,,,
C08075,238635,VENTAS MOSTRADOR PLAYA,"SOLIDARIDAD, QR",20/05/2026,ENVIADO,,,,,
C08075,238636,VENTAS MOSTRADOR PLAYA,"SOLIDARIDAD, QR",20/05/2026,ENVIADO,,,,,
C09761,238637,BLUE DIAMOND,"PLAYA DEL CARMEN, QR",20/05/2026,ENVIADO,,,,,
C09761,238638,BLUE DIAMOND,"PLAYA DEL CARMEN, QR",20/05/2026,ENVIADO,,,,,
C08698,238639,HYATT VIVID PLAYA DEL CARMEN,"PLAYA DEL CARMEN, QR",20/05/2026,ENVIADO,,,,,
C07946,238640,FAIRFIELD INN DOWNTON CANCUN A0242828,"CANCUN, QR",20/05/2026,ENVIADO,20/05/2026,KEVIN,2,TRES GUERRAS,
C07946,238641,FAIRFIELD INN DOWNTON CANCUN A0242828,"CANCUN, QR",20/05/2026,ENVIADO,,,,,
C09780,238642,LAPSO AT,"TULUM, QR",20/05/2026,ENVIADO,,,,,
C05558,238643,IBEROSTAR PUNTA MITA,"BAHIA DE BANDERAS, NAY",20/05/2026,ENVIADO,20/05/2026,FELIX,2,SANCHEZ,
C05558,238644,IBEROSTAR PUNTA MITA,"BAHIA DE BANDERAS, NAY",20/05/2026,ENVIADO,20/05/2026,,,,
C05558,238645,IBEROSTAR PUNTA MITA,"BAHIA DE BANDERAS, NAY",20/05/2026,ENVIADO,20/05/2026,FELIX,54,SANCHEZ,1 PALET
C07298,238646,LE BLANC CABOS,"SAN  JOSE DEL CABO, BCS",20/05/2026,ENVIADO,20/05/2026,,,,
C08458,238647,ECOPRODUCTOS FLORES,"CANCUN, QR",20/05/2026,ENVIADO,20/05/2026,KEVIN,37,TRES GUERRAS,
C08165,238648,HOTEL VILLAS DEL PALMAR,"PTO. VALLARTA, JAL",20/05/2026,ENVIADO,20/05/2026,FELIX,21,SANCHEZ,
C09067,238649,VOCO GUADALAJARA EXPO,"GUADALAJARA, JAL",20/05/2026,ENVIADO,20/05/2026,FELIX,4,LOCAL,
CF0021,238650,RIU EMERALD BAY MAZATLAN,"MAZATLAN, SIN",20/05/2026,ENVIADO,20/05/2026,KEVIN,15,TINY,
C05891,238651,"HAMPTON REYNOSA/ZONA INDUSTRIAL, MEXICO (REXHA)","REYNOSA, TAM",20/05/2026,ENVIADO,20/05/2026,FELIX,10,PAQMEX,
C01311,238652,MOTEL AZUL ZAFIRO,"ZAPOPAN, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,24,LOCAL,
C08449,238653,COURTYARD LOS LAGOS SAN LUIS POTOSI A0153234,"SAN LUIS POTOSI, SLP",20/05/2026,ENVIADO,20/05/2026,KEVIN,17,TRES GUERRAS,
C01345,238654,MOTEL NUIT,"TLAJOMULCO DE ZUÃ‘IGA, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,10,LOCAL,
C09108,238655,HOTEL VILLA DEL CONQUISTADOR,"CUERNAVACA, MOR",20/05/2026,ENVIADO,20/05/2026,,5,TRES GUERRAS,
C01615,238656,CASA GRANDE DELICIAS(CUUDE),"CIUDAD DELICIAS, CHI",20/05/2026,ENVIADO,20/05/2026,KEVIN,5,TRES GUERRAS,
C01615,238657,CASA GRANDE DELICIAS(CUUDE),"CIUDAD DELICIAS, CHI",20/05/2026,ENVIADO,20/05/2026,KEVIN,7,TRES GUERRAS,
C07506,238658,COMFORT INN HERMOSILLO AEROPUERTO (143197),"HERMOSILLO, SON",20/05/2026,ENVIADO,20/05/2026,KEVIN,9,TRES GUERRAS,
C08682,238659,"HILTON GARDEN INN QUERETARO, MEXICO (QROPI)","QUERETARO, QUE",20/05/2026,ENVIADO,20/05/2026,KEVIN,11,TRES GUERRAS,
C08857,238660,CANCUN PLAZA,"CANCUN, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C09324,238661,OPERADORA CALYPSO,"BENITO JUAREZ, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C09324,238662,OPERADORA CALYPSO,"BENITO JUAREZ, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C09627,238663,RESIDENCE INN PLAYA DEL CARMEN (2615 - SOLAYA HOTEL RES INN PLAYA),"PLAYA DEL CARMEN, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C09564,238664,INDIGO PLAYA DEL CARMEN,"PLAYA DEL CARMEN, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C09492,238665,IBEROSTAR SELECTION RIVIERA CANCUN,"PUERTO MORELOS, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C01795,238666,HOTEL SANTA CRUZ,"DURANGO, DUR",20/05/2026,ENVIADO,20/05/2026,KEVIN,21,TRES GUERRAS,
C08070,238667,CROWNE PLAZA TOLUCA (TLUCP),"METEPEC, MEX",20/05/2026,ENVIADO,20/05/2026,FELIX,6,ONE,
C09477,238668,SLEEP INN PUEBLA (143234),"PUEBLA, PUE",20/05/2026,ENVIADO,20/05/2026,FELIX,10,TRES GUERRAS,
C09492,238669,IBEROSTAR SELECTION RIVIERA CANCUN,"PUERTO MORELOS, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C06122,238670,SLEEP INN LEON ANTARES (143228),"LEON, GTO",20/05/2026,ENVIADO,20/05/2026,FELIX,6,ONE,
C09478,238671,COMFORT INN PUEBLA (143202),"PUEBLA, PUE",20/05/2026,ENVIADO,20/05/2026,SANDRA,13,TRES GUERRAS,
C05113,238672,SLEEP INN MAZATLAN (143229),"MAZATLAN, SIN",20/05/2026,ENVIADO,20/05/2026,KEVIN,6,TINY,
C05930,238673,HAMPTON HERMOSILLO MEXICO (HMORS),"HERMOSILLO, SON",20/05/2026,ENVIADO,20/05/2026,KEVIN,24,TINY,
C07081,238674,HOLIDAY INN CIUDAD JUAREZ (CJSAT),"CIUDAD JUAREZ, CHI",20/05/2026,ENVIADO,20/05/2026,,,,NO  VENIA EN EL LISTADO
C07427,238675,INSUMOS DEL NORTE,"CD JUAREZ, CHI",20/05/2026,ENVIADO,20/05/2026,KEVIN,5,TRES GUERRAS,
C01967,238676,BANYAN TREE PUEBLA A0146926,"PUEBLA, PUE",20/05/2026,ENVIADO,20/05/2026,FELIX,2,ONE,
C07427,238677,INSUMOS DEL NORTE,"CD JUAREZ, CHI",20/05/2026,ENVIADO,20/05/2026,KEVIN,5,CANCELADO,
C03147,238678,SLEEP INN MEXICO (143224),"MEXICO, CMX",20/05/2026,ENVIADO,20/05/2026,FELIX,6,ONE,
C01967,238679,BANYAN TREE PUEBLA A0146926,"PUEBLA, PUE",20/05/2026,ENVIADO,20/05/2026,FELIX,1,ONE,
C00561,238680,HOTEL PLAZA PELICANOS,"PUERTO VALLARTA, JAL",20/05/2026,ENVIADO,20/05/2026,FELIX,25,SANCHEZ,
C04260,238681,ENCORE SAN LUIS A0191479,"SAN LUIS POTOSI, SLP",20/05/2026,ENVIADO,20/05/2026,KEVIN,18,TRES GUERRAS,
C08807,238682,HOTEL GUADALAJARA COUNTRY CLUB (GDLCA),"GUADALAJARA, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,7,LOCAL,
C07081,238683,HOLIDAY INN CIUDAD JUAREZ (CJSAT),"CIUDAD JUAREZ, CHI",20/05/2026,ENVIADO,20/05/2026,KEVIN,16,TRES GUERRAS,
C03624,238684,HOTEL Y TU,"GUADALAJARA, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,3,LOCAL,
C08633,238685,HIDALGO 119 TERRAZA & SUITES,"ZACATECAS, ZAC",20/05/2026,ENVIADO,20/05/2026,KEVIN,3,TRES GUERRAS,
C04244,238686,HOTEL VILLA LAS ROSAS,"TEPIC, NAY",20/05/2026,ENVIADO,20/05/2026,KEVIN,8,TINY,
CP0030,238687,HOTEL DEL CENTRO,"SAN GABRIEL, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,6,CLIENTE PASA,
C04471,238688,BARCELO MAYA BEACH RESORT,"XPU HA, QR",20/05/2026,ENVIADO,20/05/2026,SANDRA,0,CEDIS CANCUN,
C05818,238689,RAMADA ENCORE PUEBLA A0191476,"CORONANGO, PUE",20/05/2026,ENVIADO,20/05/2026,KEVIN,15,TRES GUERRAS,
C03306,238690,HOTEL NEKIE,"TEPIC, NAY",20/05/2026,ENVIADO,20/05/2026,KEVIN,6,TINY,
C07282,238691,CITY PLUS GUADALAJARA EXPO (CEEGD),"ZAPOPAN, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,9,LOCAL,
C01712,238692,CITY EXPRESS CIUDAD JUAREZ(CECJS) / JIPJUA,"JUAREZ, CHI",20/05/2026,ENVIADO,20/05/2026,KEVIN,17,,
C09726,238693,WORLDHOTELS ACUEDUCTO GUADALAJARA,"ZAPOPAN, JAL",20/05/2026,ENVIADO,20/05/2026,KEVIN,1,LOCAL,
C02002,238694,HOTEL LUCERNA HERMOSILLO,"HERMOSILLO, SON",20/05/2026,ENVIADO,20/05/2026,KEVIN,27,LOCAL,
C07546,238695,INDIGO GUANAJUATO (BJXGD) A0194694,"GUANAJUATO, GTO",20/05/2026,ENVIADO,20/05/2026,KEVIN,1,TRES GUERRAS,
C08164,238696,VILLAS DEL PALMAR FLAMINGOS,"NUEVO VALLARTA, NAY",20/05/2026,ENVIADO,20/05/2026,FELIX,1,SANCHEZ,
C02295,238697,CITY EXPRESS MINATITLAN (CEMTT),"MINATITLAN, VER",20/05/2026,ENVIADO,20/05/2026,KEVIN,17,TRES GUERRAS,
C07762,238698,CITY EXPRESS CABORCA (CECAB),"CABORCA, SON",20/05/2026,ENVIADO,20/05/2026,KEVIN,17,TINY,
C04140,238699,CITY EXPRESS CANCUN AEROPUERTO (CECHC),"BENITO JUAREZ, QR",20/05/2026,ENVIADO,20/05/2026,,,CEDIS CANCUN,
C03129,238700,COURTYARD MARRIOTT MEXICO AEROPUERTO A0091048,"MEXICO DELEGACION VENUSTIANO CARRANZA, DF",20/05/2026,ENVIADO,20/05/2026,KEVIN,5,ONE,
C05918,238701,ONE GUADALAJARA EXPO (1GDEX),"GUADALAJARA, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,1,LOCAL,
C00042,238702,ONE TAPATIO (1GDTA),"TLAQUEPAQUE, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,1,LOCAL,
C07632,238703,CITY EXPRESS PLUS CHIHUAHUA (CPCUU),"CHIHUAHUA, CHI",21/05/2026,ENVIADO,21/05/2026,FELIX,25,TRES GUERRAS,
C07762,238704,CITY EXPRESS CABORCA (CECAB),"CABORCA, SON",21/05/2026,ENVIADO,21/05/2026,,,SOLO FACTURA,
C08547,238705,"HAMPTON MONTERREY APODACA, NL, MEXICO (MTYTV)","APODACA, NL",21/05/2026,ENVIADO,21/05/2026,KEVIN,21,TRES GUERRAS,
CP0014,238706,JOSE LUIS TOPETE ESTRADA,"AGUASCALIENTES, AGS",21/05/2026,PENDIENTE,21/05/2026,,,CLIENTE PASA,
CLIESP,238707,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",21/05/2026,PENDIENTE,21/05/2026,,,CLIENTE PASA,
C08671,238708,"HAMPTON PUEBLA, MEXICO (PBCHX)","SAN ANDRES CHOLULA, PUE",21/05/2026,ENVIADO,21/05/2026,KEVIN,10,TRES GUERRAS,
C09692,238709,UVI TECH,"LERMA, MEX",21/05/2026,ENVIADO,21/05/2026,,,SOLO FACTURA,
C04194,238710,"CURIO - A COLLECTION BY HILTON UMBRAL, MEXICO (MEXUB)","CUAUHTEMOC, CMX",21/05/2026,ENVIADO,21/05/2026,KEVIN,3,TRES GUERRAS,
C08413,238711,"DOUBLETREE CELAYA, MEXICO (CYWCE)","CELAYA, GTO",21/05/2026,ENVIADO,21/05/2026,KEVIN,3,TRES GUERRAS,
C02087,238712,PROMASUR,"MERIDA, YUC",21/05/2026,ENVIADO,21/05/2026,FELIX,12,TRES GUERRAS,
C01148,238713,HOTEL QUINTA MAGNA,"ZAPOPAN, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,26,TRES GUERRAS,
C05717,238714,RANCHO EL QUERETANO,"DELEGACIÓN FELIX OSORES SOTOMAYOR QUETARO, QUE",21/05/2026,ENVIADO,21/05/2026,FELIX,2,TRES GUERRAS,
C02351,238715,GILCHRIST & SOAMES,"PLAINFIELD, IN",21/05/2026,ENVIADO,21/05/2026,,,EXPORTACION,
C08160,238716,MOTEL SCALA,"GENERAL ESCOBEDO, NL",21/05/2026,ENVIADO,21/05/2026,FELIX,15,ONE,
C02384,238717,POSADA DEL MARQUES,"GUADALAJARA, JAL",21/05/2026,PENDIENTE,21/05/2026,FELIX,,CLIENTE PASA,
C00486,238718,HOTEL GUADALAJARA PLAZA EXPO,"GUADALAJARA, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,1,LOCAL,
C07520,238719,CORPORACION CAFI DE BELEN SA,", CRH",21/05/2026,ENVIADO,21/05/2026,,,EXPORTACION,NO  ESTA EN EL REPORTE DE SURTI
C07520,238720,CORPORACION CAFI DE BELEN SA,", CRH",21/05/2026,ENVIADO,21/05/2026,,,EXPORTACION,NO  ESTA EN EL REPORTE DE SURTI
CLIESP,238721,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",21/05/2026,ENVIADO,21/05/2026,,,,NO  ESTA EN EL REPORTE DE SURTI
C02351,238722,GILCHRIST & SOAMES,"PLAINFIELD, IN",21/05/2026,ENVIADO,21/05/2026,,,,NO  ESTA EN EL REPORTE DE SURTI
C02413,238723,CITY EXPRESS TORREON (CETRC),"TORREON, COA",21/05/2026,ENVIADO,21/05/2026,FELIX,23,TINY,
C04427,238724,COURTYARD MARRIOTT GUADALAJARA ANDARES,"ZAPOPAN, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,4,CLIENTE PASA,
C00667,238725,HOLIDAY INN QUERETARO CENTRO HISTORICO A0223804 (MQEMX),"SANTIAGO DE QUERETARO, QUE",21/05/2026,ENVIADO,21/05/2026,FELIX,15,ONE,
C09177,238726,INMOBILIARIA IDEEO ONE EXPRESS,"ACAPULCO DE JUAREZ, GRO",21/05/2026,ENVIADO,21/05/2026,FELIX,9,TRES GUERRAS,
C07000,238727,HOTEL QUEBEC,"GUADALAJARA, JAL",21/05/2026,DETENIDO,21/05/2026,,,DETENIDA,
C02600,238728,HOLIDAY INN TUXPAN (PAZTU),"TUXPAN, VER",21/05/2026,ENVIADO,21/05/2026,FELIX,19,TRES GUERRAS,
C05818,238729,RAMADA ENCORE PUEBLA A0191476,"CORONANGO, PUE",21/05/2026,ENVIADO,21/05/2026,FELIX,6,TRES GUERRAS,
C04471,238730,BARCELO MAYA BEACH RESORT,"XPU HA, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C04471,238731,BARCELO MAYA BEACH RESORT,"XPU HA, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C04471,238732,BARCELO MAYA BEACH RESORT,"XPU HA, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C04471,238733,BARCELO MAYA BEACH RESORT,"XPU HA, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C04471,238734,BARCELO MAYA BEACH RESORT,"XPU HA, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C05419,238735,CABO AZUL,"SAN JOSE DEL CABO, BCS",21/05/2026,ENVIADO,21/05/2026,,,SOLO FACTURA,
C05419,238736,CABO AZUL,"SAN JOSE DEL CABO, BCS",21/05/2026,ENVIADO,21/05/2026,,,SOLO FACTURA,
C02400,238737,CASA INN PREMIUM HOTEL QUERETARO,"EL MARQUES, QUE",21/05/2026,ENVIADO,21/05/2026,,,SOLO FACTURA,
C06224,238738,LIVE AQUA RESIDENCE LOS CABOS LRLC,"CABO SAN LUCAS, BCS",21/05/2026,ENVIADO,21/05/2026,,,SOLO FACTURA,
C07494,238739,CITY EXPRESS PLUS TAMPICO (CPTAM),"TAMPICO, TAM",21/05/2026,ENVIADO,21/05/2026,FELIX,25,TRES GUERRAS,
C03473,238740,HOTEL IMPERIAL SAN MARTIN TEXMELUCAN,"SAN MARTIN TEXMELUCAN, PUE",21/05/2026,ENVIADO,21/05/2026,KEVIN,4,TRES GUERRAS,
C09760,238741,BLUE BAY GRAND ESMERALDA,"PLAYA DEL CARMEN, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C09761,238742,BLUE DIAMOND,"PLAYA DEL CARMEN, QR",21/05/2026,ENVIADO,21/05/2026,,,CEDIS CANCUN,
C08737,238743,"HAMPTON CIUDAD VICTORIA, MEXICO (CDJVC)","VICTORIA, TAM",21/05/2026,ENVIADO,21/05/2026,FELIX,22,PAQMEX,
C08664,238744,CITY EXPRESS PLUS GUADALAJARA PROVIDENCIA (CPGDL),"GUADALAJARA, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,5,LOCAL,
C06133,238745,BEST WESTERN SANTORINI,"VICTORIA, TAM",21/05/2026,ENVIADO,21/05/2026,FELIX,7,PAQMEX,
C09720,238746,HOTEL DEMETRIA,"GUADALAJARA, JAL",21/05/2026,ENVIADO,21/05/2026,FELIX,2,LOCAL,
C09343,238747,HOTEL SLS PLAYA MUJERES,"ISLA MUJERES, QR",21/05/2026,ENVIADO,22/05/2026,,8,CEDIS CANCUN,
C07431,238748,IBEROSTAR PLAYA PARAISO,"PLAYA DEL CARMEN, QR",21/05/2026,ENVIADO,22/05/2026,,24,CEDIS CANCUN,
C07431,238749,IBEROSTAR PLAYA PARAISO,"PLAYA DEL CARMEN, QR",21/05/2026,ENVIADO,22/05/2026,,3,CEDIS CANCUN,
C08866,238750,"CURIO - A COLLECTION BY HILTON THE FIVES DOWNTOWN HOTEL & RESIDENCES, MEXICO (CUNCU)","PLAYA DEL CARMEN, QR",21/05/2026,ENVIADO,22/05/2026,,2,CEDIS CANCUN,
C07432,238751,IBEROSTAR COZUMEL,"COZUMEL, QR",21/05/2026,ENVIADO,22/05/2026,,2,CEDIS CANCUN,
C07520,238752,CORPORACION CAFI DE BELEN SA,", CRH",21/05/2026,ENVIADO,22/05/2026,,10,EXPORTACION,
C05942,238753,"HAMPTON SALTILLO, MEXICO (SLWHA)","SALTILLO, COA",22/05/2026,PENDIENTE,,,18,,
C08730,238754,VOCO GUADALAJARA NERUDA (GDLVO),"GUADALAJARA, JAL",22/05/2026,,,,13,,
C05500,238755,FIESTA AMERICANA GRAND CHAPULTEPEC FAGC,"MEXICO, DF",22/05/2026,,,,4,,
C06736,238756,FIESTA INN PLAZA CENTRAL  (FIPLC2),"CIUDAD DE MEXICO, CMX",22/05/2026,,,,3,,
C01560,238757,FIESTA INN LEON(FIDEICOMISO F/1596 (SUC. FI LEON)),"LEON, GTO",22/05/2026,,,,2,,
C05472,238758,FIESTA AMERICANA REFORMA  FARF,"MEXICO, DF",22/05/2026,,,,60,,
C07212,238759,CITY PLUS PERIFERICO SUR TLALPAN (CPPST),"TLALPAN, DF2",22/05/2026,,,,4,,
C07215,238760,CITY SUITES ANZURES (CSANZ),"CIUDAD DE MEXICO, CMX",22/05/2026,,,,2,,
C07639,238761,CITY EXPRESS HERMOSILLO EXPO (CEHME),"HERMOSILLO, SON",22/05/2026,,,,3,,
C05472,238762,FIESTA AMERICANA REFORMA  FARF,"MEXICO, DF",22/05/2026,,,,4000,,
C05496,238763,FIESTA AMERICANA VILLAS ACAPULCO (FACA),"ACAPULCO, GRO",22/05/2026,,,,8000,,
C06605,238764,FAIRFIELD MARRIOT NOGALES A0097801,"NOGALES, SON",22/05/2026,,,,4,,
C08080,238765,PRESIDENTE INTERCONTINENTAL CANCUN,"CANCUN, QR",22/05/2026,,,,10,,
C03147,238766,SLEEP INN MEXICO (143224),"MEXICO, CMX",22/05/2026,,,,1,,
C09761,238767,BLUE DIAMOND,"PLAYA DEL CARMEN, QR",22/05/2026,,,,9,,
C09068,238768,VOCO CIUDAD JUAREZ,"CIUDAD JUAREZ, CHI",22/05/2026,,,,14,,
C05558,238769,IBEROSTAR PUNTA MITA,"BAHIA DE BANDERAS, NAY",22/05/2026,,,,37,,
CLIESP,238770,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",22/05/2026,,,,25,,
CLIESP,238771,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",22/05/2026,,,,3,,
CLIESP,238772,VENTAS DE MOSTRADOR,"GUADALAJARA, JAL",22/05/2026,,,,3,,
C08810,238773,GRAN HOTEL DE PUEBLA (PBCDE),"PUEBLA, PUE",22/05/2026,,,,2,,
C02077,238774,MOTEL VENUS DE LEON,"LEON, GTO",22/05/2026,,,,2,,
C09366,238775,COMFORT INN PITIC HERMOSILLO (152792),"HERMOSILLO, SON",22/05/2026,,,,3,,
C01774,238776,HOTEL STORE PUERTO VALLARTA,"BAHIA DE BANDERAS, NAY",22/05/2026,,,,5,,
C05558,238777,IBEROSTAR PUNTA MITA,"BAHIA DE BANDERAS, NAY",22/05/2026,,,,51,,
C09482,238778,CROWNE PLAZA MERIDA,"MERIDA, YUC",22/05/2026,,,,19,,
C01774,238779,HOTEL STORE PUERTO VALLARTA,"BAHIA DE BANDERAS, NAY",22/05/2026,,,,5,,
C07506,238780,COMFORT INN HERMOSILLO AEROPUERTO (143197),"HERMOSILLO, SON",22/05/2026,,,,6,,
C09457,238781,MAURA ALICIA RODRIGUEZ RODRIGUEZ,"PUERTO VALLARTA, JAL",22/05/2026,,,,3,,
C02491,238782,CROWNE PLAZA LEON A0155975 (BJXCP),"LEON, GTO",22/05/2026,,,,19,,
C08880,238783,MERLOT INN,"EZEQUIEL MONTES, QUE",22/05/2026,,,,4,,
C02427,238784,RINCON DEL MONTERO,"TORREON, COA",22/05/2026,,,,8,,
C04861,238785,CORAL EJECUTIVO,"ZAPOPAN, JAL",22/05/2026,,,,6,,
C05467,238786,COMFORT INN SAN LUIS POTOSI (143206),"SAN LUIS POTOSI, SLP",22/05/2026,,,,11,,
C08916,238787,MAR DEL SUR OPERADORA DE HOTELES,"SAN PEDRO MIXTEPEC, OAX",22/05/2026,,,,29,,
C09480,238788,GRAN HOTEL & CASINO VIA DORADA,"PACHUCA, HID",22/05/2026,,,,12,,
C01957,238789,COMFORT INN VALLARTA (143203),"PTO. VALLARTA, JAL",22/05/2026,,,,12,,
CN0231,238790,COMFORT INN QUERETARO TECNOLOGICO (143205),"QUERETARO, QUE",22/05/2026,,,,5,,
C01829,238791,HOLIDAY INN EXPRESS SALTILLO(SLWZO),"SALTILLO, COA",22/05/2026,,,,4,,
C08484,238792,HOTEL SAN JOSE,"LA PIEDAD, MCH",22/05/2026,,,,15,,
C04175,238793,"HILTON GARDEN INN GUADALAJARA AIRPORT, MEXICO (GDLAP)","TLAJOMULCO DE ZU�IGA, JAL",22/05/2026,,,,8,,
C08577,238794,"TAPESTRY COLLECTION BY HILTON ALBOR SAN MIGUEL DE ALLENDE, MEXICO (BJXUP)","SAN MIGUEL DE ALLENDE, GTO",22/05/2026,,,,2,,
C09726,238795,WORLDHOTELS ACUEDUCTO GUADALAJARA,"ZAPOPAN, JAL",22/05/2026,,,,1,,
C03646,238796,HOTEL POSADA SANTA RITA,"ZAPOPAN, JAL",22/05/2026,,,,2,,
C07058,238797,FAIRFIELD INN AND SUITES SILAO,"SILAO, GTO",22/05/2026,,,,2,,
C02635,238798,CITY EXPRESS CIUDAD DEL CARMEN (CECME ),"DEL CARMEN, CAM",22/05/2026,,,,3,,
C07202,238799,CITY JUNIOR PUEBLA ANGELOPOLIS (CJPAN ),"PUEBLA, PUE",22/05/2026,,,,1,,
C08664,238800,CITY EXPRESS PLUS GUADALAJARA PROVIDENCIA (CPGDL),"GUADALAJARA, JAL",22/05/2026,,,,5,,
C05764,238801,TRYP SLP,"SAN LUIS POTOSI, SLP",22/05/2026,,,,8,,
C08165,238802,HOTEL VILLAS DEL PALMAR,"PTO. VALLARTA, JAL",22/05/2026,,,,28,,
C09019,238803,HOTEL NOITE,"LEON, GTO",22/05/2026,,,,14,,
C01046,238804,HOTEL QUINTA LAS FLORES,"CUERNAVACA, MOR",22/05/2026,,,,5,,
C07026,238805,HOTEL CASA COCULA,"ZAPOPAN, JAL",22/05/2026,,,,3,,
C07215,238806,CITY SUITES ANZURES (CSANZ),"CIUDAD DE MEXICO, CMX",22/05/2026,,,,1,,
CG0008,238807,HOTEL AEROPUERTO LOS CABOS,"SAN JOSE DEL CABO, BCS",22/05/2026,,,,6,,
C04454,238808,HOTEL FONTAN REFORMA,"CUAUHTEMOC, CMX",22/05/2026,,,,13,,
